Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units
Charlotte,Weekly,2024-12-22,Organic,1.463527326,47860.78,658.17,2280.22,0.0,44922.39
Charlotte,Weekly,2024-12-29,Organic,1.463527326,47860.78,658.17,2280.22,0.0,44922.39
Chicago,Weekly,2024-11-10,Conventional,0.923916721,1669365.73,915053.54,140108.67,31476.89,582726.62
Chicago,Weekly,2024-11-17,Conventional,0.923916721,1669365.73,915053.54,140108.67,31476.89,582726.62
Chicago,Weekly,2024-11-24,Conventional,0.923916721,1669365.73,915053.54,140108.67,31476.89,582726.62
Chicago,Weekly,2024-12-01,Conventional,0.923916721,1669365.73,915053.54,140108.67,31476.89,582726.62
Chicago,Weekly,2024-12-08,Conventional,0.923916721,1669365.73,915053.54,140108.67,31476.89,582726.62
Chicago,Weekly,2024-12-15,Conventional,0.923916721,1669365.73,915053.54,140108.67,31476.89,582726.62
Chicago,Weekly,2024-12-22,Conventional,0.923916721,1669365.73,915053.54,140108.67,31476.89,582726.62
Chicago,Weekly,2024-12-29,Conventional,0.923916721,1669365.73,915053.54,140108.67,31476.89,582726.62
Chicago,Weekly,2024-11-10,Organic,1.32977985,108449.72,821.84,32428.27,0.0,75199.6
Chicago,Weekly,2024-11-17,Organic,1.32977985,108449.72,821.84,32428.27,0.0,75199.6
Chicago,Weekly,2024-11-24,Organic,1.32977985,108449.72,821.84,32428.27,0.0,75199.6
Chicago,Weekly,2024-12-01,Organic,1.32977985,108449.72,821.84,32428.27,0.0,75199.6
Chicago,Weekly,2024-12-08,Organic,1.32977985,108449.72,821.84,32428.27,0.0,75199.6
Chicago,Weekly,2024-12-15,Organic,1.32977985,108449.72,821.84,32428.27,0.0,75199.6
Chicago,Weekly,2024-12-22,Organic,1.32977985,108449.72,821.84,32428.27,0.0,75199.6
Chicago,Weekly,2024-12-29,Organic,1.32977985,108449.72,821.84,32428.27,0.0,75199.6
Cincinnati/Dayton,Weekly,2024-11-10,Conventional,1.480109232,293317.45,140328.6,88592.89,501.24,63894.72
Cincinnati/Dayton,Weekly,2024-11-17,Conventional,1.480109232,293317.45,140328.6,88592.89,501.24,63894.72
Cincinnati/Dayton,Weekly,2024-11-24,Conventional,1.480109232,293317.45,140328.6,88592.89,501.24,63894.72
Cincinnati/Dayton,Weekly,2024-12-01,Conventional,1.480109232,293317.45,140328.6,88592.89,501.24,63894.72
Cincinnati/Dayton,Weekly,2024-12-08,Conventional,1.480109232,293317.45,140328.6,88592.89,501.24,63894.72
Cincinnati/Dayton,Weekly,2024-12-15,Conventional,1.480109232,293317.45,140328.6,88592.89,501.24,63894.72
Cincinnati/Dayton,Weekly,2024-12-22,Conventional,1.480109232,293317.45,140328.6,88592.89,501.24,63894.72
Cincinnati/Dayton,Weekly,2024-12-29,Conventional,1.480109232,293317.45,140328.6,88592.89,501.24,63894.72
Cincinnati/Dayton,Weekly,2024-11-10,Organic,2.254195128,20140.71,680.2,8110.8,0.0,11349.7
Cincinnati/Dayton,Weekly,2024-11-17,Organic,2.254195128,20140.71,680.2,8110.8,0.0,11349.7
Cincinnati/Dayton,Weekly,2024-11-24,Organic,2.254195128,20140.71,680.2,8110.8,0.0,11349.7
Cincinnati/Dayton,Weekly,2024-12-01,Organic,2.254195128,20140.71,680.2,8110.8,0.0,11349.7
Cincinnati/Dayton,Weekly,2024-12-08,Organic,2.254195128,20140.71,680.2,8110.8,0.0,11349.7
Cincinnati/Dayton,Weekly,2024-12-15,Organic,2.254195128,20140.71,680.2,8110.8,0.0,11349.7
Cincinnati/Dayton,Weekly,2024-12-22,Organic,2.254195128,20140.71,680.2,8110.8,0.0,11349.7
Cincinnati/Dayton,Weekly,2024-12-29,Organic,2.254195128,20140.71,680.2,8110.8,0.0,11349.7
Columbus,Weekly,2024-11-10,Conventional,1.364939144,264371.84,141770.39,54750.76,344.86,67505.83
Columbus,Weekly,2024-11-17,Conventional,1.364939144,264371.84,141770.39,54750.76,344.86,67505.83
Columbus,Weekly,2024-11-24,Conventional,1.364939144,264371.84,141770.39,54750.76,344.86,67505.83
Columbus,Weekly,2024-12-01,Conventional,1.364939144,264371.84,141770.39,54750.76,344.86,67505.83
Columbus,Weekly,2024-12-08,Conventional,1.364939144,264371.84,141770.39,54750.76,344.86,67505.83
Columbus,Weekly,2024-12-15,Conventional,1.364939144,264371.84,141770.39,54750.76,344.86,67505.83
Columbus,Weekly,2024-12-22,Conventional,1.364939144,264371.84,141770.39,54750.76,344.86,67505.83
Columbus,Weekly,2024-12-29,Conventional,1.364939144,264371.84,141770.39,54750.76,344.86,67505.83
Columbus,Weekly,2024-11-10,Organic,2.096915508,13605.21,534.59,3986.17,0.0,9084.46
Columbus,Weekly,2024-11-17,Organic,2.096915508,13605.21,534.59,3986.17,0.0,9084.46
Columbus,Weekly,2024-11-24,Organic,2.096915508,13605.21,534.59,3986.17,0.0,9084.46
Columbus,Weekly,2024-12-01,Organic,2.096915508,13605.21,534.59,3986.17,0.0,9084.46
Columbus,Weekly,2024-12-08,Organic,2.096915508,13605.21,534.59,3986.17,0.0,9084.46
Columbus,Weekly,2024-12-15,Organic,2.096915508,13605.21,534.59,3986.17,0.0,9084.46
Columbus,Weekly,2024-12-22,Organic,2.096915508,13605.21,534.59,3986.17,0.0,9084.46
Columbus,Weekly,2024-12-29,Organic,2.096915508,13605.21,534.59,3986.17,0.0,9084.46
Dallas/Ft. Worth,Weekly,2024-11-10,Conventional,0.981642603,1417146.17,694720.34,249270.7,1190.01,471965.12
Dallas/Ft. Worth,Weekly,2024-11-17,Conventional,0.981642603,1417146.17,694720.34,249270.7,1190.01,471965.12
Dallas/Ft. Worth,Weekly,2024-11-24,Conventional,0.981642603,1417146.17,694720.34,249270.7,1190.01,471965.12
Dallas/Ft. Worth,Weekly,2024-12-01,Conventional,0.981642603,1417146.17,694720.34,249270.7,1190.01,471965.12
Dallas/Ft. Worth,Weekly,2024-12-08,Conventional,0.981642603,1417146.17,694720.34,249270.7,1190.01,471965.12
Dallas/Ft. Worth,Weekly,2024-12-15,Conventional,0.981642603,1417146.17,694720.34,249270.7,1190.01,471965.12
Dallas/Ft. Worth,Weekly,2024-12-22,Conventional,0.981642603,1417146.17,694720.34,249270.7,1190.01,471965.12
Dallas/Ft. Worth,Weekly,2024-12-29,Conventional,0.981642603,1417146.17,694720.34,249270.7,1190.01,471965.12
Dallas/Ft. Worth,Weekly,2024-11-10,Organic,1.556365857,53392.94,14953.7,743.07,0.0,37696.17
Dallas/Ft. Worth,Weekly,2024-11-17,Organic,1.556365857,53392.94,14953.7,743.07,0.0,37696.17
Dallas/Ft. Worth,Weekly,2024-11-24,Organic,1.556365857,53392.94,14953.7,743.07,0.0,37696.17
Dallas/Ft. Worth,Weekly,2024-12-01,Organic,1.556365857,53392.94,14953.7,743.07,0.0,37696.17
Dallas/Ft. Worth,Weekly,2024-12-08,Organic,1.556365857,53392.94,14953.7,743.07,0.0,37696.17
Dallas/Ft. Worth,Weekly,2024-12-15,Organic,1.556365857,53392.94,14953.7,743.07,0.0,37696.17
Dallas/Ft. Worth,Weekly,2024-12-22,Organic,1.556365857,53392.94,14953.7,743.07,0.0,37696.17
Dallas/Ft. Worth,Weekly,2024-12-29,Organic,1.556365857,53392.94,14953.7,743.07,0.0,37696.17
Denver,Weekly,2024-11-10,Conventional,1.402056712,881056.53,407201.18,256465.95,14158.1,203231.3
Denver,Weekly,2024-11-17,Conventional,1.402056712,881056.53,407201.18,256465.95,14158.1,203231.3
Denver,Weekly,2024-11-24,Conventional,1.402056712,881056.53,407201.18,256465.95,14158.1,203231.3
Denver,Weekly,2024-12-01,Conventional,1.402056712,881056.53,407201.18,256465.95,14158.1,203231.3
Denver,Weekly,2024-12-08,Conventional,1.402056712,881056.53,407201.18,256465.95,14158.1,203231.3
Denver,Weekly,2024-12-15,Conventional,1.402056712,881056.53,407201.18,256465.95,14158.1,203231.3
Denver,Weekly,2024-12-22,Conventional,1.402056712,881056.53,407201.18,256465.95,14158.1,203231.3
Denver,Weekly,2024-12-29,Conventional,1.402056712,881056.53,407201.18,256465.95,14158.1,203231.3
Denver,Weekly,2024-11-10,Organic,1.709553607,46617.68,21683.01,785.94,0.0,24148.73
Denver,Weekly,2024-11-17,Organic,1.709553607,46617.68,21683.01,785.94,0.0,24148.73
Denver,Weekly,2024-11-24,Organic,1.709553607,46617.68,21683.01,785.94,0.0,24148.73
Denver,Weekly,2024-12-01,Organic,1.709553607,46617.68,21683.01,785.94,0.0,24148.73
Denver,Weekly,2024-12-08,Organic,1.709553607,46617.68,21683.01,785.94,0.0,24148.73
Denver,Weekly,2024-12-15,Organic,1.709553607,46617.68,21683.01,785.94,0.0,24148.73
Denver,Weekly,2024-12-22,Organic,1.709553607,46617.68,21683.01,785.94,0.0,24148.73
Denver,Weekly,2024-12-29,Organic,1.709553607,46617.68,21683.01,785.94,0.0,24148.73
Detroit,Weekly,2024-11-10,Conventional,1.394572092,435636.18,170004.33,116095.88,1884.2,147651.78
Detroit,Weekly,2024-11-17,Conventional,1.394572092,435636.18,170004.33,116095.88,1884.2,147651.78
Detroit,Weekly,2024-11-24,Conventional,1.394572092,435636.18,170004.33,116095.88,1884.2,147651.78
Detroit,Weekly,2024-12-01,Conventional,1.394572092,435636.18,170004.33,116095.88,1884.2,147651.78
Detroit,Weekly,2024-12-08,Conventional,1.394572092,435636.18,170004.33,116095.88,1884.2,147651.78
Detroit,Weekly,2024-12-15,Conventional,1.394572092,435636.18,170004.33,116095.88,1884.2,147651.78
Detroit,Weekly,2024-12-22,Conventional,1.394572092,435636.18,170004.33,116095.88,1884.2,147651.78
Detroit,Weekly,2024-12-29,Conventional,1.394572092,435636.18,170004.33,116095.88,1884.2,147651.78
Detroit,Weekly,2024-11-10,Organic,1.717938111,23970.47,8.61,3915.39,0.0,20046.47
Detroit,Weekly,2024-11-17,Organic,1.717938111,23970.47,8.61,3915.39,0.0,20046.47
Detroit,Weekly,2024-11-24,Organic,1.717938111,23970.47,8.61,3915.39,0.0,20046.47
Detroit,Weekly,2024-12-01,Organic,1.717938111,23970.47,8.61,3915.39,0.0,20046.47
Detroit,Weekly,2024-12-08,Organic,1.717938111,23970.47,8.61,3915.39,0.0,20046.47
Detroit,Weekly,2024-12-15,Organic,1.717938111,23970.47,8.61,3915.39,0.0,20046.47
Detroit,Weekly,2024-12-22,Organic,1.717938111,23970.47,8.61,3915.39,0.0,20046.47
Detroit,Weekly,2024-12-29,Organic,1.717938111,23970.47,8.61,3915.39,0.0,20046.47
Grand Rapids,Weekly,2024-11-10,Conventional,1.237010877,200307.67,59716.46,48428.14,2907.15,89255.93
Grand Rapids,Weekly,2024-11-17,Conventional,1.237010877,200307.67,59716.46,48428.14,2907.15,89255.93
Grand Rapids,Weekly,2024-11-24,Conventional,1.237010877,200307.67,59716.46,48428.14,2907.15,89255.93
Grand Rapids,Weekly,2024-12-01,Conventional,1.237010877,200307.67,59716.46,48428.14,2907.15,89255.93
Grand Rapids,Weekly,2024-12-08,Conventional,1.237010877,200307.67,59716.46,48428.14,2907.15,89255.93
Grand Rapids,Weekly,2024-12-15,Conventional,1.237010877,200307.67,59716.46,48428.14,2907.15,89255.93
Grand Rapids,Weekly,2024-12-22,Conventional,1.237010877,200307.67,59716.46,48428.14,2907.15,89255.93
Grand Rapids,Weekly,2024-12-29,Conventional,1.237010877,200307.67,59716.46,48428.14,2907.15,89255.93
Grand Rapids,Weekly,2024-11-10,Organic,1.477985325,9621.32,27.41,443.93,0.0,9149.99
Grand Rapids,Weekly,2024-11-17,Organic,1.477985325,9621.32,27.41,443.93,0.0,9149.99
Grand Rapids,Weekly,2024-11-24,Organic,1.477985325,9621.32,27.41,443.93,0.0,9149.99
Grand Rapids,Weekly,2024-12-01,Organic,1.477985325,9621.32,27.41,443.93,0.0,9149.99
Grand Rapids,Weekly,2024-12-08,Organic,1.477985325,9621.32,27.41,443.93,0.0,9149.99
Grand Rapids,Weekly,2024-12-15,Organic,1.477985325,9621.32,27.41,443.93,0.0,9149.99
Grand Rapids,Weekly,2024-12-22,Organic,1.477985325,9621.32,27.41,443.93,0.0,9149.99
Grand Rapids,Weekly,2024-12-29,Organic,1.477985325,9621.32,27.41,443.93,0.0,9149.99
Great Lakes,Weekly,2024-11-10,Conventional,1.136648672,5184009.92,2674475.65,855313.08,42834.35,1611386.84
Great Lakes,Weekly,2024-11-17,Conventional,1.136648672,5184009.92,2674475.65,855313.08,42834.35,1611386.84
